djws,1.0,0.9,1.0,0.6,0.4,1.0,0.6,0.8,1.0,0.4,0.8,0.6,0.6,0.4,1.0,0.8,0.4,1.0,0.4,0.6,1.0,1.0,1.0,0.8,0.6,0.9,1.0,0.4,0.4,0.9,0.4,0.6,1.0,0.4,0.5,0.6,1.0,1.0,0.7,1.0,0.8,0.8,1.0,0.9,1.0,1.0,1.0,0.6,1.0,1.0,0.4,0.4,1.0,0.5,0.6,0.5,0.9,1.0,1.0,1.0,1.0,0.5,1.0,0.8,0.7,0.6,0.8,1.0,0.4,0.4,0.5,0.4,0.9,0.8,1.0,0.4,0.6,1.0,0.9,0.6,0.9,1.0,0.5,0.4,1.0,1.0,0.7,0.6,0.4,1.0,0.5,0.6,0.8,1.0,0.4,0.4,0.4,0.5,1.0,0.6,
w,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.8,0.5,1.0,1.0,0.8,0.4,1.0,1.0,0.6,1.0,1.0,1.0,0.8,0.6,0.9,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6,1.0,0.6,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.6,0.8,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,1.0,0.6,1.0,1.0,0.7,0.6,1.0,1.0,1.0,1.0,0.9,1.0,0.6,0.6,0.4,1.0,1.0,0.5,
jp,0.8,1.0,0.7,0.6,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.6,0.5,1.0,1.0,0.6,0.4,0.8,1.0,0.7,0.7,0.8,0.9,0.6,0.6,0.9,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.8,1.0,0.5,1.0,0.5,1.0,0.7,0.9,1.0,1.0,1.0,0.6,0.6,0.6,0.8,0.8,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.7,0.8,1.0,0.7,1.0,0.9,1.0,1.0,0.8,1.0,0.6,0.6,1.0,0.9,1.0,1.0,0.6,0.8,1.0,1.0,0.4,1.0,1.0,0.5,
ps,0.6,0.4,0.5,0.6,0.4,0.5,0.5,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.5,0.6,0.4,0.8,0.4,0.6,0.5,0.5,0.9,0.6,0.6,0.9,0.4,0.4,0.4,0.4,0.4,0.6,0.4,1.0,1.0,0.5,0.4,1.0,0.7,1.0,0.6,0.6,1.0,0.6,1.0,1.0,0.6,0.6,1.0,1.0,0.5,0.4,0.6,1.0,0.5,1.0,0.5,1.0,0.5,0.8,1.0,0.9,0.9,0.6,0.6,0.6,0.6,0.5,0.4,0.4,1.0,0.4,0.4,0.6,1.0,0.4,0.6,0.6,1.0,0.6,0.4,0.8,1.0,1.0,0.8,0.8,0.6,0.6,0.4,0.8,1.0,1.0,0.6,0.8,1.0,1.0,0.4,1.0,1.0,0.6,
dkws,1.0,1.0,1.0,0.6,0.4,1.0,0.6,0.7,1.0,0.4,0.7,0.6,0.6,0.4,1.0,0.8,0.4,1.0,0.4,0.6,1.0,1.0,1.0,0.8,0.6,0.9,1.0,0.4,0.4,1.0,0.4,0.6,1.0,0.4,0.6,0.6,1.0,1.0,0.7,1.0,0.8,0.7,1.0,0.9,1.0,1.0,1.0,0.6,1.0,1.0,0.4,0.4,1.0,0.6,0.6,0.6,0.9,1.0,1.0,1.0,1.0,0.6,1.0,0.8,0.7,0.6,0.8,1.0,0.4,0.4,0.6,0.4,1.0,0.7,1.0,0.4,0.6,1.0,1.0,0.6,1.0,1.0,0.6,0.4,1.0,1.0,0.7,0.6,0.4,1.0,1.0,0.8,0.8,1.0,0.4,0.4,0.4,1.0,1.0,0.6,
kps,0.6,0.4,0.5,0.6,0.4,0.5,0.5,0.6,0.6,0.4,0.6,0.6,0.6,0.4,0.5,0.6,0.4,0.8,0.4,0.6,0.5,0.5,0.9,0.6,0.6,0.9,0.4,0.4,0.4,0.4,0.4,0.6,0.4,1.0,1.0,0.5,0.6,1.0,0.7,1.0,0.6,0.6,1.0,0.6,1.0,1.0,0.6,0.6,1.0,1.0,0.5,0.4,0.6,1.0,0.5,1.0,0.5,1.0,0.5,0.7,1.0,0.9,1.0,0.6,0.6,0.6,0.6,0.5,0.4,0.4,1.0,0.4,0.4,0.6,1.0,0.4,0.6,0.6,1.0,0.6,0.4,0.8,1.0,1.0,0.8,0.8,0.6,0.6,0.4,0.8,1.0,1.0,0.6,0.8,1.0,1.0,0.4,1.0,1.0,0.6,
d,0.8,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.6,0.5,1.0,1.0,0.6,0.4,0.8,1.0,0.7,0.6,0.8,0.9,0.6,0.6,0.9,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.8,1.0,0.5,1.0,0.5,1.0,0.7,0.9,1.0,1.0,1.0,0.6,0.6,0.6,0.8,0.9,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.7,0.8,1.0,0.7,1.0,0.9,1.0,1.0,0.8,1.0,0.6,0.6,1.0,0.9,1.0,1.0,0.6,0.9,1.0,1.0,0.4,1.0,1.0,0.5,
dkps,0.6,0.4,0.5,0.6,0.4,0.5,0.5,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.5,0.6,0.4,0.8,0.4,0.6,0.5,0.5,0.9,0.6,0.6,0.9,0.4,0.4,0.4,0.4,0.4,0.6,0.4,1.0,1.0,0.5,0.4,1.0,0.7,1.0,0.6,0.6,1.0,0.6,1.0,1.0,0.6,0.6,1.0,1.0,0.5,0.4,0.6,1.0,0.5,1.0,0.5,1.0,0.5,0.7,1.0,0.9,1.0,0.6,0.6,0.6,0.6,0.5,0.4,0.4,1.0,0.4,0.4,0.6,1.0,0.4,0.6,0.6,1.0,0.6,0.4,0.8,1.0,1.0,0.8,0.8,0.6,0.6,0.4,0.8,1.0,1.0,0.6,0.8,1.0,1.0,0.4,1.0,1.0,0.6,
dkp,0.8,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.6,0.5,1.0,1.0,0.6,0.4,0.8,1.0,0.7,0.6,0.8,1.0,0.6,0.6,0.9,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.8,1.0,0.5,1.0,0.5,1.0,0.6,0.9,1.0,1.0,1.0,0.6,0.6,0.6,0.8,0.9,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.7,0.8,1.0,0.7,1.0,0.9,1.0,1.0,0.8,1.0,0.6,0.6,1.0,0.9,1.0,1.0,0.6,0.9,1.0,1.0,0.4,1.0,1.0,0.5,
djps,0.6,0.4,0.5,0.6,0.4,0.5,0.5,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.5,0.6,0.4,0.8,0.4,0.6,0.5,0.5,0.9,0.6,0.6,0.9,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.8,0.7,0.5,0.4,1.0,0.7,1.0,0.6,0.6,1.0,0.6,1.0,1.0,0.6,0.5,1.0,1.0,0.5,0.4,0.6,1.0,0.5,0.8,0.5,1.0,0.5,0.8,1.0,0.7,0.8,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.8,0.4,0.4,0.6,1.0,0.4,0.6,0.6,1.0,0.6,0.4,0.8,1.0,0.8,0.8,0.8,0.6,0.6,0.4,0.8,1.0,1.0,0.6,0.8,0.8,0.8,0.4,1.0,1.0,0.6,
dps,0.6,0.4,0.5,0.6,0.4,0.5,0.5,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.5,0.6,0.4,0.8,0.4,0.6,0.5,0.5,0.9,0.6,0.6,0.9,0.4,0.4,0.4,0.4,0.4,0.6,0.4,1.0,1.0,0.5,0.4,1.0,0.7,1.0,0.6,0.6,1.0,0.6,1.0,1.0,0.6,0.6,1.0,1.0,0.5,0.4,0.6,1.0,0.5,1.0,0.5,1.0,0.5,0.8,1.0,0.9,0.9,0.6,0.6,0.6,0.6,0.5,0.4,0.4,1.0,0.4,0.4,0.6,1.0,0.4,0.6,0.6,1.0,0.6,0.4,0.8,1.0,1.0,0.8,0.8,0.6,0.6,0.4,0.8,1.0,1.0,0.6,0.8,1.0,1.0,0.4,1.0,1.0,0.6,
p,0.8,1.0,0.7,0.6,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.6,0.5,1.0,1.0,0.6,0.4,0.8,1.0,0.7,0.7,0.8,0.9,0.6,0.6,0.9,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.8,1.0,0.5,1.0,0.5,1.0,0.7,0.9,1.0,1.0,1.0,0.6,0.6,0.6,0.8,0.8,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.7,0.8,1.0,0.7,1.0,0.9,1.0,1.0,0.8,1.0,0.6,0.6,1.0,0.9,1.0,1.0,0.6,0.8,1.0,1.0,0.4,1.0,1.0,0.5,
jpw,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.8,0.5,1.0,1.0,0.8,0.4,1.0,1.0,0.6,1.0,1.0,1.0,0.8,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9,1.0,0.6,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.6,0.8,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,1.0,0.8,1.0,1.0,0.7,0.6,1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.8,0.4,1.0,1.0,0.5,
djpws,1.0,0.8,1.0,0.6,0.4,1.0,0.6,1.0,1.0,0.4,1.0,0.6,0.6,0.4,1.0,0.8,0.4,1.0,0.4,0.6,1.0,1.0,1.0,0.8,0.6,0.9,1.0,0.4,0.4,0.8,0.4,0.6,1.0,0.4,0.5,0.6,1.0,1.0,0.7,1.0,0.8,1.0,1.0,0.9,1.0,1.0,1.0,0.6,1.0,1.0,0.4,0.4,1.0,1.0,0.6,0.5,0.9,1.0,1.0,1.0,1.0,0.5,1.0,0.8,0.7,0.6,0.8,1.0,0.4,0.4,0.5,0.4,0.8,1.0,1.0,0.4,0.6,1.0,1.0,0.6,0.8,1.0,1.0,0.4,1.0,1.0,0.7,0.6,0.4,1.0,1.0,1.0,0.8,1.0,0.4,0.4,0.4,1.0,1.0,0.6,
kpws,1.0,0.8,1.0,0.6,0.4,1.0,0.6,1.0,1.0,0.4,1.0,0.6,0.6,0.4,1.0,0.8,0.4,1.0,0.4,0.6,1.0,1.0,1.0,0.8,0.6,0.9,1.0,0.4,0.4,0.8,0.4,0.6,1.0,0.4,0.5,0.6,1.0,1.0,0.7,1.0,0.8,1.0,1.0,0.9,1.0,1.0,1.0,0.6,1.0,1.0,0.4,0.4,1.0,1.0,0.6,0.5,0.9,1.0,1.0,1.0,1.0,0.5,1.0,0.8,0.7,0.6,0.8,1.0,0.4,0.4,0.5,0.4,0.8,1.0,1.0,0.4,0.6,1.0,1.0,0.6,0.8,1.0,1.0,0.4,1.0,1.0,0.7,0.6,0.4,1.0,1.0,1.0,0.8,1.0,0.4,0.4,0.4,1.0,1.0,0.6,
s,0.6,0.4,0.5,0.6,0.4,0.5,0.6,0.6,0.6,0.4,0.6,0.6,0.6,0.4,0.5,0.6,0.4,0.8,0.4,0.6,0.5,0.5,0.9,0.6,0.6,0.9,0.5,0.4,0.4,0.4,0.4,0.6,0.4,1.0,1.0,0.5,0.6,1.0,0.7,1.0,0.6,0.6,1.0,0.6,1.0,1.0,0.6,0.5,1.0,1.0,0.5,0.4,0.6,1.0,0.5,1.0,0.5,1.0,0.5,0.8,1.0,1.0,1.0,0.6,0.6,0.6,0.6,0.5,0.4,0.4,1.0,0.4,0.4,0.6,1.0,0.4,0.6,0.6,1.0,0.6,0.4,0.8,1.0,1.0,0.8,0.8,0.6,0.6,0.4,0.8,1.0,1.0,0.6,0.8,1.0,1.0,0.4,1.0,1.0,0.6,
